Dr. Fritz Felgentreu, SPD, 1464 Tage
Silvia Breher, CDU, 1464 Tage
Christina Jantz-Herrmann, SPD, 1464 Tage
Dr. Gero Clemens Hocker, FDP, 1464 Tage
Hubertus Zdebel, DIE LINKE., 1464 Tage
Johann Saathoff, SPD, 1464 Tage
Karsten Klein, FDP, 1464 Tage
Andreas Rimkus, SPD, 1464 Tage
Jörg Cezanne, DIE LINKE., 1464 Tage
Andreas Steier, CDU, 1464 Tage
Marcus Held, SPD, 1464 Tage
Karlheinz Busen, FDP, 1464 Tage
Axel Müller, CDU, 1464 Tage
Stefan Schmidt, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. Michael Espendiller, AfD, 1464 Tage
Jens Lehmann, CDU, 1464 Tage
Roman Johannes Reusch, AfD, 1464 Tage
Gudrun Zollner, CSU, 1464 Tage
Dr. Franziska Brantner, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Claudia Müller, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Konstantin Kuhle, FDP, 1464 Tage
Pascal Meiser, DIE LINKE., 1464 Tage
Michael Vietz, CDU, 1464 Tage
Dr. André Hahn, DIE LINKE., 1464 Tage
Alexander Müller, FDP, 1464 Tage
Yvonne Magwas, CDU, 1464 Tage
Erich Irlstorfer, CSU, 1464 Tage
Katrin Budde, SPD, 1464 Tage
Kerstin Vieregge, CDU, 1464 Tage
Azize Tank, DIE LINKE., 1464 Tage
Ulrike Schielke-Ziesing, AfD, 1464 Tage
Norbert Maria Altenkamp, CDU, 1464 Tage
Dr. Volker Ullrich, CSU, 1464 Tage
Xaver Jung, CDU, 1464 Tage
Martin Erwin Renner, AfD, 1464 Tage
Claudia Moll, SPD, 1464 Tage
Kai Whittaker, CDU, 1464 Tage
Wilfried Oellers, CDU, 1464 Tage
Dr. Heiko Wildberg, AfD, 1464 Tage
Dr. Birgit Malsack-Winkemann, AfD, 1464 Tage
Dr. Jürgen Martens, FDP, 1464 Tage
Katharina Dröge, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Ulrike Bahr, SPD, 1464 Tage
Hans-Jürgen Irmer, CDU, 1464 Tage
Carl-Julius Cronenberg, FDP, 1464 Tage
Christian Sauter, FDP, 1464 Tage
Margaret Horb, CDU, 1464 Tage
Eckhard Gnodtke, CDU, 1464 Tage
Bettina Margarethe Wiesmann, CDU, 1464 Tage
Thomas Viesehon, CDU, 1464 Tage
Bernd Westphal, SPD, 1464 Tage
Michael Kießling, CSU, 1464 Tage
Markus Koob, CDU, 1464 Tage
Alexander Krauß, CDU, 1464 Tage
Dr. Anna Christmann, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Markus Herbrand, FDP, 1464 Tage
Dr. Katarina Barley, SPD, 1464 Tage
Frank Pasemann, Plos, 1464 Tage
Detlev Spangenberg, AfD, 1464 Tage
Volker Münz, AfD, 1464 Tage
Peter Felser, AfD, 1464 Tage
Hansjörg Durz, CSU, 1464 Tage
Victor Perli, DIE LINKE., 1464 Tage
Dr. Nina Scheer, SPD, 1464 Tage
Martin Schulz, SPD, 1464 Tage
Nicole Westig, FDP, 1464 Tage
Matthias Hauer, CDU, 1464 Tage
Armin-Paulus Hampel, AfD, 1464 Tage
Rüdiger Lucassen, AfD, 1464 Tage
Katrin Albsteiger, CSU, 1464 Tage
Heidtrud Henn, SPD, 1464 Tage
Amira Mohamed Ali, DIE LINKE., 1464 Tage
Erhard Grundl, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Christina Schwarzer, CDU, 1464 Tage
Matthias Schmidt, SPD, 1464 Tage
Sebastian Hartmann, SPD, 1464 Tage
Thomas Ehrhorn, AfD, 1464 Tage
Dr. Manuela Rottmann, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. Götz Frömming, AfD, 1464 Tage
Ulla Ihnen, FDP, 1464 Tage
Dr. Roland Hartwig, AfD, 1464 Tage
Dr. Alexander Gauland, AfD, 1464 Tage
Gyde Jensen, FDP, 1464 Tage
Fabio De Masi, DIE LINKE., 1464 Tage
Gabriela Heinrich, SPD, 1464 Tage
Dr. André Berghegger, CDU, 1464 Tage
Waldemar Herdt, AfD, 1464 Tage
Katja Suding, FDP, 1464 Tage
Dr. Carsten Brodesser, CDU, 1464 Tage
Sandra Weeser, FDP, 1464 Tage
Philipp Amthor, CDU, 1464 Tage
Emmi Zeulner, CSU, 1464 Tage
Thomas Seitz, AfD, 1464 Tage
Torbjörn Kartes, CDU, 1464 Tage
Mariana Iris Harder-Kühnel, AfD, 1464 Tage
Jessica Tatti, DIE LINKE., 1464 Tage
Franziska Gminder, AfD, 1464 Tage
Dr. Irene Mihalic, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. Tim Ostermann, CDU, 1464 Tage
Bernd Rützel, SPD, 1464 Tage
Dieter Janecek, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. Marcus Faber, FDP, 1464 Tage
Anke Domscheit-Berg, DIE LINKE., 1464 Tage
Leif-Erik Holm, AfD, 1464 Tage
Dr. Wolfgang Stefinger, CSU, 1464 Tage
Sabine Poschmann, SPD, 1464 Tage
Ursula Schulte, SPD, 1464 Tage
Bernhard Daldrup, SPD, 1464 Tage
Rita Stockhofe, CDU, 1464 Tage
Andreas Schwarz, SPD, 1464 Tage
Dr. Philipp Lengsfeld, CDU, 1464 Tage
Florian Post, SPD, 1464 Tage
Alexander Radwan, CSU, 1464 Tage
Simone Barrientos, DIE LINKE., 1464 Tage
Dr. Alexander S. Neu, DIE LINKE., 1464 Tage
Stefan Zierke, SPD, 1464 Tage
Dr. Johannes Fechner, SPD, 1464 Tage
Dennis Rohde, SPD, 1464 Tage
Dr. Dietlind Tiemann, CDU, 1464 Tage
Norbert Spinrath, SPD, 1464 Tage
Wilhelm Gottberg, AfD, 1464 Tage
Verena Hartmann, Plos, 1464 Tage
Petr Bystron, AfD, 1464 Tage
Dr. Rainer Kraft, AfD, 1464 Tage
Matthias Höhn, DIE LINKE., 1464 Tage
Peter Stein, CDU, 1464 Tage
Doris Wagner, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Jens Beeck, FDP, 1464 Tage
Barbara Woltmann, CDU, 1464 Tage
Dr. Christoph Hoffmann, FDP, 1464 Tage
Bettina Müller, SPD, 1464 Tage
Markus Paschke, SPD, 1464 Tage
Sebastian Münzenmaier, AfD, 1464 Tage
Dr. Katja Leikert, CDU, 1464 Tage
Mathias Stein, SPD, 1464 Tage
Jutta Eckenbach, CDU, 1464 Tage
Frank Müller-Rosentritt, FDP, 1464 Tage
Stephan Albani, CDU, 1464 Tage
Michael Donth, CDU, 1464 Tage
Dr. Astrid Freudenstein, CSU, 1464 Tage
Dr. Dr. h. c. Bernd Fabritius, CSU, 1464 Tage
Thomas Stritzl, CDU, 1464 Tage
Reinhard Houben, FDP, 1464 Tage
Sören Pellmann, DIE LINKE., 1464 Tage
Ulrich Lechte, FDP, 1464 Tage
Eva-Maria Schreiber, DIE LINKE., 1464 Tage
Alois Rainer, CSU, 1464 Tage
Svenja Stadler, SPD, 1464 Tage
Christel Voßbeck-Kayser, CDU, 1464 Tage
Hansjörg Müller, AfD, 1464 Tage
Dr. Andrew Ullmann, FDP, 1464 Tage
Mario Brandenburg, FDP, 1464 Tage
Antje Lezius, CDU, 1464 Tage
Dr. Christian Wirth, AfD, 1464 Tage
Oliver Grundmann, CDU, 1464 Tage
Ottmar Holtz, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Andreas Bleck, AfD, 1464 Tage
Sabine Dittmar, SPD, 1464 Tage
Nina Warken, CDU, 1464 Tage
Heiko Maas, SPD, 1464 Tage
Frank Sitta, FDP, 1464 Tage
Thomas Heilmann, CDU, 1464 Tage
Dr. Marcel Klinge, FDP, 1464 Tage
Tino Chrupalla, AfD, 1464 Tage
Jürgen Braun, AfD, 1464 Tage
Heinrich Zertik, CDU, 1464 Tage
Christian Haase, CDU, 1464 Tage
Friedrich Straetmanns, DIE LINKE., 1464 Tage
Tino Sorge, CDU, 1464 Tage
Bettina Hornhues, CDU, 1464 Tage
Tobias Pflüger, DIE LINKE., 1464 Tage
Uwe Feiler, CDU, 1464 Tage
Dr. Marie-Agnes Strack-Zimmermann, FDP, 1464 Tage
Dr. Michael Abercron, CDU, 1464 Tage
Beatrix Storch, AfD, 1464 Tage
Dirk Heidenblut, SPD, 1464 Tage
Helin Evrim Sommer, DIE LINKE., 1464 Tage
Helge Lindh, SPD, 1464 Tage
Burkhard Blienert, SPD, 1464 Tage
Carsten Träger, SPD, 1464 Tage
Mark Hauptmann, CDU, 1464 Tage
Martin Sichert, AfD, 1464 Tage
Josephine Ortleb, SPD, 1464 Tage
Grigorios Aggelidis, FDP, 1464 Tage
Dr. Claudia Schmidtke, CDU, 1464 Tage
Olaf In der Beek, FDP, 1464 Tage
Alexander Throm, CDU, 1464 Tage
Siemtje Möller, SPD, 1464 Tage
Dr. Daniela De Ridder, SPD, 1464 Tage
Uwe Lagosky, CDU, 1464 Tage
Andreas Mrosek, AfD, 1464 Tage
Charles M. Huber, CDU, 1464 Tage
Torsten Herbst, FDP, 1464 Tage
Dietmar Friedhoff, AfD, 1464 Tage
Uli Grötsch, SPD, 1464 Tage
Dr. Bernd Baumann, AfD, 1464 Tage
Matthias Seestern-Pauly, FDP, 1464 Tage
Melanie Bernstein, CDU, 1464 Tage
Susanne Mittag, SPD, 1464 Tage
Katharina Willkomm, FDP, 1464 Tage
Oswin Veith, CDU, 1464 Tage
Jana Schimke, CDU, 1464 Tage
Gabriele Schmidt, CDU, 1464 Tage
Marina Kermer, SPD, 1464 Tage
Kerstin Kassner, DIE LINKE., 1464 Tage
Dr. Hendrik Hoppenstedt, CDU, 1464 Tage
Renata Alt, FDP, 1464 Tage
Klaus-Dieter Gröhler, CDU, 1464 Tage
Bernhard Loos, CSU, 1464 Tage
Dr. Dirk Spaniel, AfD, 1464 Tage
Stephan Pilsinger, CSU, 1464 Tage
Michael Theurer, FDP, 1464 Tage
Carsten Körber, CDU, 1464 Tage
Frank Junge, SPD, 1464 Tage
Florian Oßner, CSU, 1464 Tage
Dr. Gottfried Curio, AfD, 1464 Tage
Susanne Ferschl, DIE LINKE., 1464 Tage
Paul Ziemiak, CDU, 1464 Tage
Dr. Karamba Diaby, SPD, 1464 Tage
Lorenz Gösta Beutin, DIE LINKE., 1464 Tage
Markus Töns, SPD, 1464 Tage
Gisela Manderla, CDU, 1464 Tage
Brigitte Freihold, DIE LINKE., 1464 Tage
Benjamin Strasser, FDP, 1464 Tage
Matthias Gastel, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Thomas Hitschler, SPD, 1464 Tage
Arno Klare, SPD, 1464 Tage
Ingmar Jung, CDU, 1464 Tage
Thomas Jurk, SPD, 1464 Tage
Katja Hessel, FDP, 1464 Tage
Rita Hagl-Kehl, SPD, 1464 Tage
Gabriele Katzmarek, SPD, 1464 Tage
Dagmar Schmidt, SPD, 1464 Tage
Cemile Giousouf, CDU, 1464 Tage
Norbert Kleinwächter, AfD, 1464 Tage
Steffen Kotré, AfD, 1464 Tage
Gerold Otten, AfD, 1464 Tage
