Hinweise zur Aufgabe: Sortiert primär nach Redenanzahl, sekundär nach Redenlänge


TEIL 1: Nach Fraktionen:
Fraktion Deutsche Partei
    Isabel Mackensen-Geis, SPD (8 Reden, gesamt 39235 Zeichen)
    Daniel Baldy, SPD (8 Reden, gesamt 39002 Zeichen)
    Daniel Schneider, SPD (8 Reden, gesamt 37387 Zeichen)
    Michael Roth, SPD (8 Reden, gesamt 36681 Zeichen)
    Christian Petry, SPD (8 Reden, gesamt 35953 Zeichen)
    Christian Schreider, SPD (8 Reden, gesamt 29375 Zeichen)
    Sarah Lahrkamp, SPD (8 Reden, gesamt 29271 Zeichen)
    Martin Kröber, SPD (8 Reden, gesamt 29040 Zeichen)
    Matthias David Mieves, SPD (8 Reden, gesamt 28193 Zeichen)
    Dagmar Andres, SPD (8 Reden, gesamt 26905 Zeichen)
    Martin Gerster, SPD (7 Reden, gesamt 39097 Zeichen)
    Frank Junge, SPD (7 Reden, gesamt 36882 Zeichen)
    Axel Echeverria, SPD (7 Reden, gesamt 32517 Zeichen)
    Johann Saathoff, SPD (7 Reden, gesamt 32225 Zeichen)
    Dietmar Nietan, SPD (7 Reden, gesamt 30765 Zeichen)
    Kevin Leiser, SPD (7 Reden, gesamt 26565 Zeichen)
    Sylvia Lehmann, SPD (7 Reden, gesamt 24530 Zeichen)
    Katja Mast, SPD (7 Reden, gesamt 13064 Zeichen)
    Lars Klingbeil, SPD (6 Reden, gesamt 41310 Zeichen)
    Sabine Dittmar, SPD (6 Reden, gesamt 38824 Zeichen)
    Falko Droßmann, SPD (6 Reden, gesamt 31473 Zeichen)
    Andreas Rimkus, SPD (6 Reden, gesamt 30428 Zeichen)
    Claudia Tausend, SPD (6 Reden, gesamt 26771 Zeichen)
    Reem Alabali-Radovan, SPD (6 Reden, gesamt 26433 Zeichen)
    Cansel Kiziltepe, SPD (6 Reden, gesamt 21374 Zeichen)
    Saskia Esken, SPD (5 Reden, gesamt 30839 Zeichen)
    Wiebke Papenbrock, SPD (5 Reden, gesamt 26188 Zeichen)
    Jürgen Coße, SPD (5 Reden, gesamt 24269 Zeichen)
    Rita Schwarzelühr-Sutter, SPD (5 Reden, gesamt 23413 Zeichen)
    Udo Schiefner, SPD (5 Reden, gesamt 21263 Zeichen)
    Alexander Bartz, SPD (5 Reden, gesamt 20569 Zeichen)
    Anette Kramme, SPD (5 Reden, gesamt 14514 Zeichen)
    Stefan Schwartze, SPD (5 Reden, gesamt 12276 Zeichen)
    Thomas Hitschler, SPD (4 Reden, gesamt 21034 Zeichen)
    Bettina Müller, SPD (4 Reden, gesamt 17082 Zeichen)
    Dirk Vöpel, SPD (4 Reden, gesamt 15707 Zeichen)
    Aydan Özoğuz, SPD (4 Reden, gesamt 14575 Zeichen)
    Claudia Moll, SPD (4 Reden, gesamt 12164 Zeichen)
    Sarah Ryglewski, SPD (3 Reden, gesamt 20773 Zeichen)
    Siemtje Möller, SPD (3 Reden, gesamt 15799 Zeichen)
    Sören Bartol, SPD (3 Reden, gesamt 14820 Zeichen)
    Dr. Andreas Philippi, SPD (3 Reden, gesamt 13983 Zeichen)
    Rainer Johannes Keller, SPD (3 Reden, gesamt 13205 Zeichen)
    Emily Vontz, SPD (3 Reden, gesamt 12171 Zeichen)
    Gabriele Katzmarek, SPD (3 Reden, gesamt 9681 Zeichen)
    Ana-Maria Trăsnea, SPD (3 Reden, gesamt 9315 Zeichen)
    Dr. Eva Högl, SPD (2 Reden, gesamt 17838 Zeichen)
    Mahmut Özdemir, SPD (2 Reden, gesamt 15019 Zeichen)
    Dr. Bärbel Kofler, SPD (2 Reden, gesamt 12645 Zeichen)
    Heiko Maas, SPD (1 Reden, gesamt 7661 Zeichen)
    Yasmin Fahimi, SPD (1 Reden, gesamt 4862 Zeichen)
    Niels Annen, SPD (1 Reden, gesamt 4779 Zeichen)
    Frank Ullrich, SPD (1 Reden, gesamt 4583 Zeichen)
    Dr. Daniela De Ridder, SPD (1 Reden, gesamt 4472 Zeichen)
    Dr. Edgar Franke, SPD (1 Reden, gesamt 3981 Zeichen)
    Burkhard Blienert, SPD (1 Reden, gesamt 2067 Zeichen)
    Bärbel Bas, SPD (1 Reden, gesamt 124 Zeichen)
    Günter Rixe, SPD (0 Reden, gesamt 0 Zeichen)
    Birgit Roth, SPD (0 Reden, gesamt 0 Zeichen)
    Karl Diller, SPD (0 Reden, gesamt 0 Zeichen)
    Martin Schulz, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Wilhelm Priesmeier, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Norbert Wieczorek, SPD (0 Reden, gesamt 0 Zeichen)
    Günter Herterich, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Elinor Hubert, SPD (0 Reden, gesamt 0 Zeichen)
    Peter Alltschekow, SPD (0 Reden, gesamt 0 Zeichen)
    Petra Ernstberger, SPD (0 Reden, gesamt 0 Zeichen)
    Hellmut Sieglerschmidt, SPD (0 Reden, gesamt 0 Zeichen)
    Heinz Frehsee, SPD (0 Reden, gesamt 0 Zeichen)
    Friedel Schirmer, SPD (0 Reden, gesamt 0 Zeichen)
    Jörn Thießen, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Frank-Walter Steinmeier, SPD (0 Reden, gesamt 0 Zeichen)
    Robert Geritzmann, SPD (0 Reden, gesamt 0 Zeichen)
    Heinz-Alfred Steiner, SPD (0 Reden, gesamt 0 Zeichen)
    Dieter Schinzel, SPD (0 Reden, gesamt 0 Zeichen)
    Josef Hellenbrock, SPD (0 Reden, gesamt 0 Zeichen)
    Willy Fischer, SPD (0 Reden, gesamt 0 Zeichen)
    Wolfgang Behrendt, SPD (0 Reden, gesamt 0 Zeichen)
    Egon Lutz, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Dieter Haack, SPD (0 Reden, gesamt 0 Zeichen)
    Hugo Rimmelspacher, SPD (0 Reden, gesamt 0 Zeichen)
    Marko Mühlstein, SPD (0 Reden, gesamt 0 Zeichen)
    Ernst Roth, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Hans-Peter Will, SPD (0 Reden, gesamt 0 Zeichen)
    Franziska Bennemann, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Ulrich Böhme, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Manja Schüle, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Walter Bersch, SPD (0 Reden, gesamt 0 Zeichen)
    Helmut Schmidt, SPD (0 Reden, gesamt 0 Zeichen)
    Louise Schroeder, SPD (0 Reden, gesamt 0 Zeichen)
    Christian Lange, SPD (0 Reden, gesamt 0 Zeichen)
