Document{{_id=11005129, Redenanzahl=33, Vorname=Thorsten, Nachname=Lieb, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004709, Redenanzahl=33, Vorname=Thomas, Nachname=Erndl, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003530, Redenanzahl=33, Vorname=Otto, Nachname=Fricke, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004698, Redenanzahl=33, Vorname=Gottfried, Nachname=Curio, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004884, Redenanzahl=32, Vorname=Michael, Nachname=Schrodi, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004304, Redenanzahl=32, Vorname=Alexander, Nachname=Hoffmann, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004933, Redenanzahl=32, Vorname=Wolfgang, Nachname=Wiehle, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11005047, Redenanzahl=32, Vorname=Leon, Nachname=Eckert, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004057, Redenanzahl=32, Vorname=Manuel, Nachname=Höferlin, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004832, Redenanzahl=32, Vorname=Sepp, Nachname=Müller, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005024, Redenanzahl=32, Vorname=Bengt, Nachname=Bergt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005030, Redenanzahl=32, Vorname=Simone, Nachname=Borchardt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004726, Redenanzahl=31, Vorname=Stefan, Nachname=Gelbhaar, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004721, Redenanzahl=31, Vorname=Markus, Nachname=Frohnmaier, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004754, Redenanzahl=31, Vorname=Gero Clemens, Nachname=Hocker, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004734, Redenanzahl=31, Vorname=Thomas, Nachname=Hacker, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004742, Redenanzahl=31, Vorname=Katrin, Nachname=Helling-Plahr, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004440, Redenanzahl=31, Vorname=Anja, Nachname=Weisgerber, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004653, Redenanzahl=30, Vorname=Gökay, Nachname=Akbulut, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11004926, Redenanzahl=30, Vorname=Christoph, Nachname=Vries, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004244, Redenanzahl=30, Vorname=Heike, Nachname=Baehrens, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004901, Redenanzahl=30, Vorname=Katrin, Nachname=Staffler, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004857, Redenanzahl=30, Vorname=Filiz, Nachname=Polat, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004899, Redenanzahl=30, Vorname=Dirk, Nachname=Spaniel, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004853, Redenanzahl=29, Vorname=Stephan, Nachname=Pilsinger, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005078, Redenanzahl=29, Vorname=Linda, Nachname=Heitmann, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11003576, Redenanzahl=29, Vorname=Renate, Nachname=Künast, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004119, Redenanzahl=29, Vorname=Ingrid, Nachname=Nestle, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11005190, Redenanzahl=29, Vorname=Lars, Nachname=Rohwer, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003034, Redenanzahl=29, Vorname=Dietmar, Nachname=Bartsch, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11004110, Redenanzahl=29, Vorname=Mathias, Nachname=Middelberg, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005228, Redenanzahl=29, Vorname=Till, Nachname=Steffen, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004048, Redenanzahl=29, Vorname=Florian, Nachname=Hahn, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004675, Redenanzahl=29, Vorname=Peter, Nachname=Boehringer, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004075, Redenanzahl=29, Vorname=Pascal, Nachname=Kober, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004103, Redenanzahl=29, Vorname=Thomas, Nachname=Lutze, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11004753, Redenanzahl=28, Vorname=Nicole, Nachname=Höchst, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004291, Redenanzahl=28, Vorname=Sebastian, Nachname=Hartmann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005180, Redenanzahl=28, Vorname=Paula, Nachname=Piechotta, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11005020, Redenanzahl=28, Vorname=Roger, Nachname=Beckamp, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004665, Redenanzahl=28, Vorname=Canan, Nachname=Bayram, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11005257, Redenanzahl=28, Vorname=Klaus, Nachname=Wiener, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005206, Redenanzahl=28, Vorname=Peggy, Nachname=Schierenbeck, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005018, Redenanzahl=28, Vorname=Christina, Nachname=Baum, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004680, Redenanzahl=28, Vorname=Jürgen, Nachname=Braun, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11005251, Redenanzahl=28, Vorname=Carmen, Nachname=Wegge, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004745, Redenanzahl=27, Vorname=Markus, Nachname=Herbrand, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
