Document{{_id=11005043, Redenanzahl=9, Vorname=Felix, Nachname=Döring, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003838, Redenanzahl=9, Vorname=Marianne, Nachname=Schieder, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004878, Redenanzahl=9, Vorname=Uwe, Nachname=Schmidt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004377, Redenanzahl=9, Vorname=Sabine, Nachname=Poschmann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004412, Redenanzahl=9, Vorname=Svenja, Nachname=Stadler, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005023, Redenanzahl=9, Vorname=Jürgen, Nachname=Berghahn, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004614, Redenanzahl=9, Vorname=Angelika, Nachname=Glöckner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004359, Redenanzahl=9, Vorname=Michelle, Nachname=Müntefering, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004287, Redenanzahl=9, Vorname=Rita, Nachname=Hagl-Kehl, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005208, Redenanzahl=8, Vorname=Christoph, Nachname=Schmid, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005211, Redenanzahl=8, Vorname=Daniel, Nachname=Schneider, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005135, Redenanzahl=8, Vorname=Bettina, Nachname=Lugk, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004605, Redenanzahl=8, Vorname=Christian, Nachname=Petry, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003213, Redenanzahl=8, Vorname=Michael, Nachname=Roth, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005120, Redenanzahl=8, Vorname=Sarah, Nachname=Lahrkamp, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005015, Redenanzahl=8, Vorname=Daniel, Nachname=Baldy, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005009, Redenanzahl=8, Vorname=Dagmar, Nachname=Andres, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004949, Redenanzahl=8, Vorname=Isabel, Nachname=Mackensen-Geis, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005213, Redenanzahl=8, Vorname=Christian, Nachname=Schreider, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005116, Redenanzahl=8, Vorname=Martin, Nachname=Kröber, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005170, Redenanzahl=8, Vorname=Lennard, Nachname=Oehl, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005154, Redenanzahl=8, Vorname=Matthias David, Nachname=Mieves, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004289, Redenanzahl=8, Vorname=Metin, Nachname=Hakverdi, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003199, Redenanzahl=7, Vorname=Dietmar, Nachname=Nietan, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003804, Redenanzahl=7, Vorname=Katja, Nachname=Mast, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003758, Redenanzahl=7, Vorname=Martin, Nachname=Gerster, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
